Country Code,Country,State Code,State,District,Annual Replenishable Ground Water Resource,Domestic & Industrial Water Supply,Projected demand for Domestic and Industrial uses upto 2025,Net Ground Water Availability for Future Irrigation use,Stage of Ground Water Development (%)
1,India,20,Madhya Pradesh,Burhanpur,34077,1147,1422,7446,76
1,India,20,Madhya Pradesh,Chhatarpur,78778,2761,4012,23318,67
1,India,20,Madhya Pradesh,Chhindwara,139607,5274,7194,60477,53
1,India,20,Madhya Pradesh,Damoh,42217,2113,3761,13484,62
1,India,20,Madhya Pradesh,Datia,34756,1248,1928,16492,48
1,India,20,Madhya Pradesh,Dewas,87646,2623,3582,14159,82
1,India,20,Madhya Pradesh,Dhar,103017,5005,6769,15840,82
1,India,20,Madhya Pradesh,Dindori,44853,1384,1714,39040,8
1,India,20,Madhya Pradesh,Guna,78949,2665,3389,32923,55
1,India,20,Madhya Pradesh,Gwalior,52828,1979,3815,26662,43
1,India,20,Madhya Pradesh,Harda,53712,976,1330,35966,29
1,India,20,Madhya Pradesh,Hoshangabad,213837,2933,4348,163745,19
1,India,20,Madhya Pradesh,Indore,60089,3369,4183,-12207,120
1,India,20,Madhya Pradesh,Jabalpur,62238,3141,5083,28054,49
1,India,20,Madhya Pradesh,Jhabua,23214,2366,3142,11254,45
1,India,20,Madhya Pradesh,Katni,41068,2549,3893,21717,41
1,India,20,Madhya Pradesh,Khandwa,83818,2862,4793,27936,62
1,India,20,Madhya Pradesh,Khargone,79640,3467,5062,17425,75
1,India,20,Madhya Pradesh,Mandla,58603,2248,3200,46255,15
1,India,20,Madhya Pradesh,Mandsaur,60232,3229,3219,2029,96
1,India,20,Madhya Pradesh,Morena,64089,4289,7209,33053,41
1,India,20,Madhya Pradesh,Narsimhapur,122679,2168,2708,27907,76
1,India,20,Madhya Pradesh,Neemuch,42795,1749,1973,6588,83
1,India,20,Madhya Pradesh,Panna,54629,2101,2925,37441,26
1,India,20,Madhya Pradesh,Raisen,95013,3168,4393,48775,45
1,India,20,Madhya Pradesh,Rajgarh,91148,3457,4291,14004,83
1,India,20,Madhya Pradesh,Ratlam,77565,2382,2781,-19312,126
1,India,20,Madhya Pradesh,Rewa,49413,4609,5970,20402,54
1,India,20,Madhya Pradesh,Sagar,129102,2418,4642,48012,59
1,India,20,Madhya Pradesh,Satna,57012,5167,5867,13254,74
1,India,20,Madhya Pradesh,Sehore,78947,2585,5787,14106,77
1,India,20,Madhya Pradesh,Seoni,74706,3029,4412,49055,29
1,India,20,Madhya Pradesh,Shahdol,67862,1928,2679,59485,7
1,India,20,Madhya Pradesh,Shajapur,104108,3583,3972,1691,98
1,India,20,Madhya Pradesh,Sheopur,44606,1274,1690,26467,37
1,India,20,Madhya Pradesh,Shivpuri,78621,3226,4152,22621,68
1,India,20,Madhya Pradesh,Sidhi,35995,2433,3576,19914,38
1,India,20,Madhya Pradesh,Singrauli,37558,2257,3608,23517,30
1,India,20,Madhya Pradesh,Tikamgarh,58602,2348,3813,14032,72
1,India,20,Madhya Pradesh,Ujjain,95883,3141,3935,3594,95
1,India,20,Madhya Pradesh,Umaria,46386,1277,1873,38534,11
1,India,20,Madhya Pradesh,Vidisha,93731,3585,5004,39498,54
1,India,21,Maharashtra,Ahmednagar,196457,3403,6057,40936,82
1,India,21,Maharashtra,Akola,42302,1197,2394,20800,45
1,India,21,Maharashtra,Amravati,94987,2865,5055,30342,68
1,India,21,Maharashtra,Aurangabad,119680,3257,6392,29074,72
1,India,21,Maharashtra,Beed,142047,4761,9521,61110,51
1,India,21,Maharashtra,Bhandara,54620,2316,4628,32106,33
1,India,21,Maharashtra,Buldana,99839,2798,5392,27268,70
1,India,21,Maharashtra,Chandrapur,109415,7172,14344,79764,16
1,India,21,Maharashtra,Dhule,74538,1784,3517,32093,52
1,India,21,Maharashtra,Gadchiroli,96381,2674,5343,65994,25
1,India,21,Maharashtra,Gondia,64457,3397,6793,45030,20
1,India,21,Maharashtra,Hingoli,107779,1804,3607,62412,37
1,India,21,Maharashtra,Jalgaon,143453,6226,9798,29948,81
1,India,21,Maharashtra,Jalna,95760,1295,2571,41081,53
1,India,21,Maharashtra,Kolhapur,124112,1326,2653,68327,41
1,India,21,Maharashtra,Latur,75868,2065,3801,18144,75
1,India,21,Maharashtra,Nagpur,113290,4801,9430,46429,52
1,India,21,Maharashtra,Nanded,141577,3046,6092,84990,35
1,India,21,Maharashtra,Nandurbar,51437,2373,4745,21747,50
1,India,21,Maharashtra,Nashik,202424,3519,6545,82051,58
1,India,21,Maharashtra,Osmanabad,106673,1872,3628,26931,72
1,India,21,Maharashtra,Parbhani,96900,1847,3673,48758,45
1,India,21,Maharashtra,Pune,182927,7067,12837,45714,73
1,India,21,Maharashtra,Raigad,62600,2094,4188,49442,13
1,India,21,Maharashtra,Ratnagiri,48084,1231,2462,39222,11
1,India,21,Maharashtra,Sangli,95405,2803,5000,15871,83
1,India,21,Maharashtra,Satara,108869,4946,9564,23668,73
1,India,21,Maharashtra,Sindudurg,27619,1963,3927,14541,37
1,India,21,Maharashtra,Solapur,167751,4952,9116,39527,77
1,India,21,Maharashtra,Thane,61659,1255,2510,49281,13
1,India,21,Maharashtra,Wardha,87179,3504,7008,41019,46
1,India,21,Maharashtra,Washim,59336,1575,3149,32936,38
1,India,21,Maharashtra,Yavatmal,139315,5746,11492,101013,19
1,India,22,Manipur,Imphal west,8591.06,30,1274.98,6351.97,2.69
1,India,22,Manipur,Imphal east,12771.88,9,1163.74,10297.94,0.66
1,India,22,Manipur,Thoubal,5463.73,6,700.75,4183.61,0.8
1,India,22,Manipur,Kakching block,5728.74,5,413.2,4685.67,1.21
1,India,22,Manipur,Bishnupur district,7935.81,10,606.936,6505.29,0.56
1,India,22,Manipur,Churachanpur,3520.12,10,449,2644.11,2.69
1,India,23,Meghalaya,East khasi hil,37263,6,3576,29961,0.018
1,India,23,Meghalaya,West garo hill,54343,3.55,5799,42959,0.314
1,India,23,Meghalaya,East gora hill,39932,1.76,2845,33094,0.005
1,India,23,Meghalaya,Jaintia hills,32783,1.98,3672,25832,0.007
1,India,23,Meghalaya,West khasi hills,6264,2.03,3575,2063,0.036
1,India,23,Meghalaya,Ri bhoi,5716,1.25,2465,2680,0.024
1,India,23,Meghalaya,South garo hill,1748,0.67,1312,261,0.043
1,India,24,Mizoram,Aizawl,311,21,83,198,7.46
1,India,24,Mizoram,Champhai,696,16,23,603,2.54
1,India,24,Mizoram,Kolasib,424,8,17,364,2.07
1,India,24,Mizoram,Lawngtalai,579,9,28,493,1.64
1,India,24,Mizoram,Lunglei,218,23,27,169,11.93
1,India,24,Mizoram,Mamit,325,7,21,272,2.41
1,India,24,Mizoram,Saiha,273,3,11,235,1.06
1,India,24,Mizoram,Serchipp,210,10,12,177,5.29
1,India,25,Nagaland,Kohima,4866,566,779,3601,12.9
1,India,25,Nagaland,Dimapur,24876,851,1180,21209,3.8
1,India,25,Nagaland,Phek,3495,239,277,2868,7.6
1,India,25,Nagaland,Mokokchung,6291,286,287,5375,5.1
1,India,25,Nagaland,Zunheboto,2492,206,207,2036,9.2
1,India,25,Nagaland,Wokha,5201,243,255,4426,5.2
1,India,25,Nagaland,Tuensang,11556,642,699,9701,6.2
1,India,25,Nagaland,Mon,2814,366,368,2165,14.5
1,India,26,Orissa,Anugul,48830,3493,4509,29180,34
1,India,26,Orissa,Baleshwar,116485,5742,8401,49467,53
1,India,26,Orissa,Bargarh,48837,3293,3797,33650,26
1,India,26,Orissa,Bhadrak,48216,2663,3418,17996,59
1,India,26,Orissa,Balangir,60794,3091,3421,44191,23
1,India,26,Orissa,Baudh,29900,910,1265,21876,20
1,India,26,Orissa,Cuttack,75717,6089,7620,42322,38
1,India,26,Orissa,Debagarh,22173,664,949,17023,16
1,India,26,Orissa,Dhenkanal,46872,2797,3340,32200,26
1,India,26,Orissa,Gajapati,24009,1140,1302,16286,27
1,India,26,Orissa,Ganjam,123070,7334,9475,77558,30
1,India,26,Orissa,Jagatsinghapur,48683,1970,2463,21332,52
1,India,26,Orissa,Jajapur,60404,2190,2999,28419,49
1,India,26,Orissa,Jharsuguda,17777,1563,1757,11444,31
1,India,26,Orissa,Kalahandi,79985,4312,9644,54648,20
1,India,26,Orissa,Kandhamal,74331,1776,2530,60665,13
1,India,26,Orissa,Kendrapara,17705,673,830,7034,57
1,India,26,Orissa,Keonjhar,86097,4395,4787,57642,29
1,India,26,Orissa,Khordha,50787,5227,7673,29467,33
1,India,26,Orissa,Koraput,73618,3409,3905,61850,10
1,India,26,Orissa,Malkangiri,35891,1330,1853,29887,9
1,India,26,Orissa,Mayurbhanj,158554,6469,8384,102538,30
1,India,26,Orissa,Nabarangapur,53198,2986,6630,39242,15
1,India,26,Orissa,Nayagarh,45559,2056,2489,31900,24
1,India,26,Orissa,Nuapada,35918,1522,3262,24913,21
1,India,26,Orissa,Puri,62895,3259,4136,45631,21
1,India,26,Orissa,Rayagada,70143,2774,3161,55576,15
1,India,26,Orissa,Sambalpur,56484,2594,3181,43398,16
1,India,26,Orissa,Subarnapur,22647,1273,1606,16853,20
1,India,26,Orissa,Sundargarh,82100,4628,5389,59465,22
