Country Code,Country,State Code,State,District,Annual Replenishable Ground Water Resource,Domestic & Industrial Water Supply,Projected demand for Domestic and Industrial uses upto 2025,Net Current Ground Water Availability,Net Ground Water Availability for Future Irrigation use,Stage of Ground Water Development (%)
1,India,12,Gujarat,Patan,28064,1921,2495,25258,0,122
1,India,12,Gujarat,Porbandar,20743,835,1618,19705,4809,72
1,India,12,Gujarat,Rajkot,152825,7816,10344,145183,47790,65
1,India,12,Gujarat,Sabarkantha,124881,5614,7738,118637,30259,73
1,India,12,Gujarat,Surat,85633,6315,8339,81352,42816,45
1,India,12,Gujarat,Surendranagar,66303,2937,3936,62987,24490,60
1,India,12,Gujarat,Tapi,35474,1397,1824,33701,22243,33
1,India,12,Gujarat,Vadodara,125982,8129,10566,119682,52515,54
1,India,12,Gujarat,Valsad,35410,2669,3578,33640,18541,42
1,India,13,Haryana,Ambala,58101,7710,8954,53252,5975,86
1,India,13,Haryana,Panchkula,14898,2790,4319,13918,1135,81
1,India,13,Haryana,Fatehabad,58879,1400,1809,52992,-39477,174
1,India,13,Haryana,Bhiwani,68084,758,832,61857,-9571,115
1,India,13,Haryana,Hisar,68918,452,565,62320,3914,94
1,India,13,Haryana,Gurgaon,26720,18152,18152,24048,-30370,226
1,India,13,Haryana,Mewat,24308,1190,1755,22364,3023,84
1,India,13,Haryana,Faridabad,21738,2232,2733,19564,4140,76
1,India,13,Haryana,Palwal,46204,999,1310,42907,1000,97
1,India,13,Haryana,Jhajjar,45307,291,339,41238,131,100
1,India,13,Haryana,Jind,93541,3717,3812,84792,-10099,112
1,India,13,Haryana,Kaithal,58702,6241,6241,53509,-61048,214
1,India,13,Haryana,Karnal,90243,1244,1244,82231,-39660,148
1,India,13,Haryana,Kurukshetra,38371,6737,6737,35333,-42503,220
1,India,13,Haryana,Mahendragarh,24480,421,470,22480,-496,102
1,India,13,Haryana,Panipat,34539,496,496,31087,-19557,163
1,India,13,Haryana,Rewari,31546,116,126,28392,-3733,113
1,India,13,Haryana,Rohtak,47964,100,117,43771,13166,70
1,India,13,Haryana,Sirsa,85946,776,776,77352,-58867,176
1,India,13,Haryana,Sonipat,85553,4630,4639,76998,-30258,139
1,India,13,Haryana,Yamunanagar,53821,10215,10499,48441,-18492,138
1,India,14,Himachal Pradesh,Indaura valley,10566.99,1492.35,1492.35,10038.64,4774.92,52
1,India,14,Himachal Pradesh,Nurpur valley,7405.67,1511.33,1511.33,7035.39,4013.86,43
1,India,14,Himachal Pradesh,Balh valley,2974.31,659.04,659.04,2825.59,1912.82,32
1,India,14,Himachal Pradesh,Paonta valley,8108.39,858.44,858.44,7702.97,5528.51,28
1,India,14,Himachal Pradesh,Kala amb valley,101.66,494.51,494.51,96.58,-448.74,565
1,India,14,Himachal Pradesh,Nalagarh valley,8359.85,2113.39,2113.39,7941.86,3609.55,55
1,India,14,Himachal Pradesh,Una,17792.75,5485.88,5485.88,16903.11,-4063.17,124
1,India,14,Himachal Pradesh,Hum valley,593.11,106.9,125.36,563.45,-16.05,100
1,India,15,Jammu and Kashmir,Jammu,130102,8503,9162,117092,94937,18
1,India,15,Jammu and Kashmir,Kathua,53671,3127,3793,48304,39043,18
1,India,15,Jammu and Kashmir,Srinagar,16612,9328,12304,14951,2147,66
1,India,15,Jammu and Kashmir,Anantnag,51009,5014,6447,45908,39392,11
1,India,15,Jammu and Kashmir,Baramula,51770,4071,4959,46593,41233,10
1,India,15,Jammu and Kashmir,Badgam,29632,7088,8519,26669,18088,27
1,India,15,Jammu and Kashmir,Pulwama,30893,7922,10318,27803,17395,29
1,India,15,Jammu and Kashmir,Kupwara,21055,4858,6607,18950,12318,26
1,India,15,Jammu and Kashmir,Udhampur,6483,2785,3045,5835,2775,48
1,India,15,Jammu and Kashmir,Rajauri,11800,3102,4063,10620,6326,31
1,India,15,Jammu and Kashmir,Poonch,10434,3762,4910,9391,4476,40
1,India,15,Jammu and Kashmir,Doda,5972,1043,1715,5374,3654,20
1,India,15,Jammu and Kashmir,Kargil,1583,132,167,1425,1259,9
1,India,15,Jammu and Kashmir,Leh,4104,40,55,3694,3627,1
1,India,16,Jharkhand,Bokaro,24886,2474,3575,23081,14018,34
1,India,16,Jharkhand,Chatra,30959,1374,2262,28772,17623,36
1,India,16,Jharkhand,Deoghar,25668,2754,4783,23733,13423,35
1,India,16,Jharkhand,Dhanbad,16378,4623,5780,14943,5449,56
1,India,16,Jharkhand,Dumka,30212,1948,2509,27191,19047,28
1,India,16,Jharkhand,Purbi singhbhum,32101,3467,3837,29100,22125,23
1,India,16,Jharkhand,Garhwa,33768,2027,2925,30986,18839,36
1,India,16,Jharkhand,Giridih,47055,3913,5245,43695,26142,37
1,India,16,Jharkhand,Godda,15487,2052,2414,14271,7488,45
1,India,16,Jharkhand,Gumla,42754,1622,2176,38478,27208,28
1,India,16,Jharkhand,Hazaribag,37404,3378,4556,34250,18673,42
1,India,16,Jharkhand,Jamtara,17888,1401,1888,16407,11251,28
1,India,16,Jharkhand,Khunti,16786,724,1166,15107,10213,29
1,India,16,Jharkhand,Kodarma,8182,885,1286,7572,4468,36
1,India,16,Jharkhand,Latehar,26703,1006,1520,24617,17325,28
1,India,16,Jharkhand,Lohardaga,11176,627,948,10058,5612,41
1,India,16,Jharkhand,Pakaur,15188,1255,1897,13783,11101,15
1,India,16,Jharkhand,Palamu,39242,2654,3855,35676,22188,34
1,India,16,Jharkhand,Ramgarh,13854,1806,1867,12635,7531,40
1,India,16,Jharkhand,Ranchi,40212,5982,8718,36587,16465,48
1,India,16,Jharkhand,Sahibganj,14535,2113,3159,13228,9112,23
1,India,16,Jharkhand,Saraikela,21443,2640,3308,19465,15467,17
1,India,16,Jharkhand,Simdega,30693,1086,1630,27828,19178,29
1,India,16,Jharkhand,W-singhbhum,38136,3064,4563,34742,29114,12
1,India,17,Karnataka,Bagalkot,43208,3028,3838,39574,10795,91
1,India,17,Karnataka,Bangalore rural,21391,3239,3240,20184,107,127
1,India,17,Karnataka,Bangalore urban,13417,5749,5749,12746,0,141
1,India,17,Karnataka,Belgaum,114125,6337,8000,103436,31892,78
1,India,17,Karnataka,Bellary,72946,3072,4871,65966,37877,42
1,India,17,Karnataka,Bidar,32722,1766,2348,30680,13719,57
1,India,17,Karnataka,Bijapur,51446,5006,6070,47410,16071,75
1,India,17,Karnataka,Chamarajanagar,37785,1446,1910,34322,10017,80
1,India,17,Karnataka,Chikballapur,32703,2705,2735,29883,1591,145
1,India,17,Karnataka,Chikmagalur,68630,2235,2604,56402,32580,43
1,India,17,Karnataka,Chitradurga,54852,2941,3557,49677,5998,102
1,India,17,Karnataka,Dakshin kannada,51579,2958,3471,32404,10614,69
