State,DISTRICT,SEMI-CRITICAL,CRITICAL,OVER EXPLOITED
,,Reddiapatti,,Oddanchathram
,,Senthurai,,Palakkanoothu
,,,,Palayam
,,,,Puliyurnatham
,,,,Reddiarchatram
,,,,Sanarpatti
,,,,Silvathur
,,,,Thoppampatti
,,,,Vadamadurai
,,,,Vedasandur
,,,,Viruveedu
,Erode,Ammapettai,Athani,Bhavanisagar
,,Anthiyur,,Chennimalai
,,Arachalur,,Elathur
,,Arasur,,Erode East
,,Bhavani,,Erode North
,,Erode west,,Kodumudi
,,Kanjikoil,,Modakurichi
,,Kasipalayam,,Nambiyur
,,Kavandapadi,,Perundurai
,,Kilampadi,,Punjaipuliampatti
,,Kurichi,,Vellode
