State,District,Semi Critical Block,Critical Block,Over Exploited Block
,Yamunanagar,Sadhuara,,Jagadhri
,,Chachrauli,,Mustafabad
,,,,Radour
Karnataka,Bagalkot,,,Badami 
,,-,-,Bagalkote 
,,-,-,Hungund 
,,-,-,Jamkhandi
,,-,-,Mudhol
,Bangalore Rural,-,-,Channapatna
,,,,Devenhalli
,,-,-,Dod Ballapur
,,-,-,Hoskote
,,,,Kanakapura(P) 
,,,,Magadi (P)
,,-,-,Nelamangala
,,,,Ramanagram
,Bangalore Urban,-,-,Anekal
,,-,-,Bangalore North
,,-,-,Bangalore South
,Belgaum,,,Athni (P)
,,,,Bailahongal (P)
,,,,Chikodi (P)
,,,,Gokak (P)
,,-,,Ramdurg 
,,-,,Raibagh(P)
,,-,,Saundatti (P)
,,-,,
,Bellary,H.B. Halli(P-I),,Bellary (P)
,,Kudligi(P),,Hadagalli
,Bijapur,B.Bagevadi(P),-,Sindgi (P)
,,Indi (P-I),-,Muddebihal (P)
,,,-,
,Chamrajnagara,Gundlupet (P),,Kollegal (P)
,,,-,
,Chikmagalur,Kadur(P),,
,Chitradurga,Challakere (P),,Chitradurga
,,Hiriyur,,Holalkere
,,-,-,
,Davangere,Honnali (P),,Channagiri (P)
,,-,-,Davangere (P)
,,-,-,Harpanahalli 
,,,,Harihar (P)
,,-,-,Jagalur(P)
,Gadag,Mundargi,-,Gadag (P)
,,,,Nargund(P)
,,,-,Ron 
,Hassan,Arsikere (NC),-,C R Patna (NC)
,,-,-,Hassan (NC)
,,-,-,Holenarsipur (NC)
,Haveri,,Hirekerur (NC), Byadgi (NC)
,,,,Ranibennur (NC)
,,,,Haveri (NC)
,,,,-
,Kolar,-,-,Bangarpet
,,-,-,Kolar
,,-,-,Malur
,,-,-,Mulbagal
,,-,-,Srinivaspur
,Koppal,,-,Gangawati (NC)
,,-,-,Koppal (NC)
,,-,-,Yelbarga
,Mandya,,Malavalli (NC),Krishnarajpet (NC)
,Mysore,Nanjangud (NC),,Mysore (NC)
,,,,-
,,,-,-
,Tumkur,Gubbi (NC),Pavagada,C.N. Halli
,,Sira (NC),-,Koratagere
,,-,-,Madhugiri
,,-,-,Tiptur (NC)
,,,-,Turuvekere (NC)
Kerala,Trivendum,Kilmanoor,Chirayinkil,Athiyannor
,,Nemom,Parassala,
,Quilon,Anchalamood,,
,,Mukhathala,,
,,Panthanapuram,,
,,Vettikaala,,
,Idukki,Devikulam,Kattappana,
,,Nedumkandam,,
,,,,
,Ernakulam,Alangadu,Angamaly,
,,Koonvapady,Parakkadavu,
,,Mulanthuruthy,Pampakuda,
,,Paravoor,Vyttila,
,Trichur,Mala,,Kodungallor
,,Mathilakam,,
,,Ollurkara,,
,,Thalikulam,,
,Malappuram,Andathodu,Wandur,
,,Kondotty,,
,,Kuttipuram,,
,,Manjeri,,
,,Nilambur,,
,,Tanur,,
,,Tirurangadi,,
,,Vengara,,
,Palghat,Attapadi,Kollengode,Chittur
,,Sreekrishnapuram,Palghat,
,,,Thrithala,
,Calicut,Chevayoor,Balusseri,Kozhikode
,,,Tooneri,
,Wayanad,Sulthan Bathery,,
,Kannur,,Kuthuparamba,-
,,,Tellissery,
,Kasargod,Manjeswar,,-
,,Kanhangad,,
Madhya Pradesh,Barwani,Rajpur,-,Parasemal
,,,-,-
,Bhopal,Phanda,-,-
,Betul,Amla,,
,Buhanpur,Burhanpur,-,-
,Chhatarpur,Chhatarpur,-,-
,Chhindwara,.Chhindwara,-,-
,Dewas,,Dewas,
,,-,Sonkutch,
,Dhar,Dharampuri,-,Badnawar
,,,-,Dhar
,,-,-,Nalcha
,,,,Manawar
,,-,-,Tirla
,Indore,,Depalpur,Indore
,,,-,Sanwer
,,,-,
,Khargone,Khargone,Barwaha,-
,,Mahashwar,-,-
,,,-,-
,Khandwa,Chopan,-,-
,Mandsaur,Bhanpura,-,Mandsaur
,,,,Malahargarh
,,,-,Sitamau
