"Country Code","Country","State Code","State","District","Net Groundwater Availability","Projected demand for Domestic and Industrial uses upto 2025","Net Ground Water Availability for Future Irrigation use"
"01","INDIA","20","MADHYA PRADESH","RAJGARH","93762.49","4811.23","17421.74"
"01","INDIA","20","MADHYA PRADESH","RATLAM","77150.43","3268.51","-21774.98"
"01","INDIA","20","MADHYA PRADESH","REWA","61859.31","6205","29456.76"
"01","INDIA","20","MADHYA PRADESH","SAGAR","121288.16","8255","42435.62"
"01","INDIA","20","MADHYA PRADESH","SATNA","61380.81","6459.35","15256.89"
"01","INDIA","20","MADHYA PRADESH","SEHORE","82246.3","5787","25459.73"
"01","INDIA","20","MADHYA PRADESH","SEONI","77867.74","9115.39","48311.98"
"01","INDIA","20","MADHYA PRADESH","SHAHDOL","64267.48","5283","56563.56"
"01","INDIA","20","MADHYA PRADESH","SHAJAPUR","58833.27","2336.24","-1214.4"
"01","INDIA","20","MADHYA PRADESH","SHEOPUR","42063.62","1781","26267.5"
"01","INDIA","20","MADHYA PRADESH","SHIVPURI","74286.75","4617.56","21327.95"
"01","INDIA","20","MADHYA PRADESH","SIDHI","32667.14","3576","21911.02"
"01","INDIA","20","MADHYA PRADESH","SINGRAULI","35237.21","4170.79","22338.13"
"01","INDIA","20","MADHYA PRADESH","TIKAMGARH","52172.21","6032.89","10910.81"
"01","INDIA","20","MADHYA PRADESH","UJJAIN","96266.63","3805.04","5266.52"
"01","INDIA","20","MADHYA PRADESH","UMARIA","46214.16","4024.6","38323.27"
"01","INDIA","20","MADHYA PRADESH","VIDESHA","84577.13","5648.52","32574.75"
"01","INDIA","21","MAHARASHTRA","AHMADNAGAR","178493.77","8745.35","43606.01"
"01","INDIA","21","MAHARASHTRA","AKOLA","40427.98","2819.79","21461.3"
"01","INDIA","21","MAHARASHTRA","AMARAVATI","96524.34","5121","30229.26"
"01","INDIA","21","MAHARASHTRA","AURANGABAD","106219.76","6426.51","23275.18"
"01","INDIA","21","MAHARASHTRA","BID","130227.75","9792.92","54980.88"
"01","INDIA","21","MAHARASHTRA","BHANDARA","52798.27","6296.92","26941.69"
"01","INDIA","21","MAHARASHTRA","BULDHANA","94448.21","6841.92","24555.48"
