"Country Code","Country","State Code","State","District","Block","2004Status","2009Status","2011Status","2013Status"
"01","India","02","ANDHRA PRADESH","CHITTOOR","K.V.V.B. PURAM","SAFE","SAFE","SAFE","SAFE"
"01","India","02","ANDHRA PRADESH","CHITTOOR","KALAKADA","SAFE","SAFE","SAFE","SAFE"
"01","India","02","ANDHRA PRADESH","CHITTOOR","KALIKIRI","SAFE","SAFE","SAFE","SEMI_CRITICAL"
"01","India","02","ANDHRA PRADESH","CHITTOOR","KAMBHAMVARIPALLE","SAFE","SAFE","SAFE","SEMI_CRITICAL"
"01","India","02","ANDHRA PRADESH","CHITTOOR","KARVETNAGAR","OVER_EXPLOITED","","CRITICAL","SEMI_CRITICAL"
"01","India","02","ANDHRA PRADESH","CHITTOOR","KUPPAM","CRITICAL","OVER_EXPLOITED","OVER_EXPLOITED","OVER_EXPLOITED"
"01","India","02","ANDHRA PRADESH","CHITTOOR","KURABALAKOTA","SAFE","SAFE","SAFE","SEMI_CRITICAL"
"01","India","02","ANDHRA PRADESH","CHITTOOR","MADANAPALLE","SEMI_CRITICAL","SEMI_CRITICAL","SEMI_CRITICAL","SEMI_CRITICAL"
"01","India","02","ANDHRA PRADESH","CHITTOOR","MULAKALACHERUVU","SAFE","SAFE","SAFE","SEMI_CRITICAL"
"01","India","02","ANDHRA PRADESH","CHITTOOR","NAGALAPURAM","SAFE","SAFE","SAFE","SAFE"
"01","India","02","ANDHRA PRADESH","CHITTOOR","NAGARI","OVER_EXPLOITED","","","SAFE"
"01","India","02","ANDHRA PRADESH","CHITTOOR","NARAYANAVANAM","CRITICAL","","","SAFE"
"01","India","02","ANDHRA PRADESH","CHITTOOR","NIMMANAPALLE","","SEMI_CRITICAL","SEMI_CRITICAL","SAFE"
"01","India","02","ANDHRA PRADESH","CHITTOOR","NINDRA","OVER_EXPLOITED","OVER_EXPLOITED","OVER_EXPLOITED","OVER_EXPLOITED"
"01","India","02","ANDHRA PRADESH","CHITTOOR","PAKALA","OVER_EXPLOITED","OVER_EXPLOITED","OVER_EXPLOITED","OVER_EXPLOITED"
"01","India","02","ANDHRA PRADESH","CHITTOOR","PALAMANERU","","","","SEMI_CRITICAL"
"01","India","02","ANDHRA PRADESH","CHITTOOR","PALASAMUDRAM","OVER_EXPLOITED","OVER_EXPLOITED","CRITICAL","CRITICAL"
"01","India","02","ANDHRA PRADESH","CHITTOOR","PALMANER","SEMI_CRITICAL","SEMI_CRITICAL","SEMI_CRITICAL","SAFE"
"01","India","02","ANDHRA PRADESH","CHITTOOR","PEDDA TIPPA SAMUDRAM","","","SEMI_CRITICAL","SEMI_CRITICAL"
"01","India","02","ANDHRA PRADESH","CHITTOOR","PEDDAMANDYAM","SAFE","SAFE","SAFE","SAFE"
