 Andhra Pradesh,,,,,,,,,
 Maharashtra,,,,,,,,,
1,AHMADNAGAR,1,Kopargaon,,,1,Rhata,,
,,2,Newasa,,,2,Sangamner,,
,,3,Shrigonda,,,,,,
2,AMARAVATI,1,Achlapur,,,1,Chandur Bazar,,
,,2,Morshi,,,2,Daryapur,,
,,,,,,3,Warud,,
3,Buldhana,1,Motala,,,1,Jalgaon,,
4,Jalgaon,1,Bodwad,,,1,Raver,,
,,2,Muktainagar,,,2,Yawal,,
,,3,Parola,,,,,,
5,Latur,1,Latur,,,,,,
6,NASIK,1,Chandwad,,,,,,
,,2,Deola,,,,,,
,,3,Niphad,,,,,,
,,4,Sinnar,,,,,,
7,Osmanabad,1,Osmanabad,,,,,,
8,Pune,1,Baramati,,,,,,
,,2,Purandhar,,,,,,
9,Sangli,1,Miraj,1,Kavathe Mahankal,,,,
10,Satara,1,Khatav,,,,,,
11,Solapur,,,,,1,Malshiras,,
Orissa,,,,,,,,,
1,Bhadrak,,,,,,,1,Chandbali
2,Jagatsinghpur,,,,,,,1,Ersama
3,KENDRAPARHA,,,,,,,1,Mahakalpada
,,,,,,,,2,Marshaghai
,,,,,,,,3,Rajkanika
,,,,,,,,4,Rajnagar
  Punjab ,,,,,,,,,
1,Amritsar,,,1,Majitha,1,Ajnala,,
,,,,,,2,Chogawan,,
,,,,,,3,Harsha China,,
,,,,,,4,Jandiala,,
,,,,,,5,Rayya,,
,,,,,,6,Tarsika,,
,,,,,,7,Verka,,
2,Barnala,,,,,1,Barnala,,
,,,,,,2,Mahal Kalan,,
,,,,,,3,Sehna,,
3,Bathinda,,,,,1,Phul,,
,,,,,,2,Maur,,
,,,,,,3,Bathinda,,
4,Faridkot,,,,,1,Faridkot,,
,,,,,,2,Kot Kapura,,
5,Fatehgarh Sahib,,,,,1,Khera,,
,,,,,,2,Sirhind,,
,,,,,,3,Amloh,,
,,,,,,4,Bassi Pathana,,
,,,,,,5,Khamanon,,
6,FIROZPUR,,,,,1,Fazilka,,
,,,,,,2,Jalalabad,,
7,Ferozepur,,,1,Guru Har Sahai,1,Ferozpur,,
,,,,,,2,Ghall Khurd,,
,,,,,,3,Makhu,,
,,,,,,4,Mamdot,,
,,,,,,5,Zira,,
8,Gurdaspur,1,Gurdaspur,,,1,Batala,,
,,,,,,2,Fatehgarh Churian,,
,,,,,,3,Kahnuwan,,
,,,,,,4,Kalanaur,,
,,,,,,5,Qadian,,
,,,,,,6,Sri Hargobindpur,,
,,,,,,7,Dera Baba Nanak,,
,,,,,,8,Dhariwal,,
9,Hoshiarpur,1,Mukerian,,,1,Dasuya,,
,,,,,,2,Garhshankar,,
,,,,,,3,Hoshiarpur-1,,
,,,,,,4,Tanda,,
10,Jalandhar,,,,,1,Adampur,,
,,,,,,2,Bhogpur,,
,,,,,,3,Rurka Kalan,,
,,,,,,4,Jalandhar-East,,
,,,,,,5,Jalandhar-West,,
,,,,,,6,Lohian,,
,,,,,,7,Nakodar,,
,,,,,,8,Nur Mahal,,
,,,,,,9,Phillaur,,
,,,,,,10,Shahkot,,
11,Kapurthala,,,,,1,Nadala,,
,,,,,,2,Dhilwan,,
,,,,,,3,Kapurthala,,
,,,,,,4,Phagwara,,
,,,,,,5,Sultanpur Lodhi,,
12,Ludhiana,,,,,1,Dehlon,,
,,,,,,2,Doraha,,
,,,,,,3,Jagraon,,
,,,,,,4,Khanna,,
,,,,,,5,Ludhiana,,
,,,,,,6,Mangat,,
,,,,,,7,Pakhowal,,
