Andhra Pradesh,,,,
7,Bishnupur Block,4549.28,480.09,4036.08
8,Moirang Block,3561.54,293.1,3244.36
9,Khuga catchment/ Khuga Valley *,5451.06,452.73,4923.08
Meghalaya,,,,
1,East Khasi Hills,31343,6040,25303
2,West Khasi Hills,24177,1835,22342
3,South West Khasi Hills,14333,1835,12498
4,East Jaintia Hills,43879,742,43137
5,West Jaintia Hills,31105,1697,29403
6,Ri-Bhoi,12066,1912,10154
7,East Garo Hills,10397,980,9417
8,North Garo Hills,17398,929,16319
9,West Garo Hills,76302,3053,72949
10,South West Garo Hills,21736,813,20573
11,South Garo Hills,14748,897,13851
Mizoram,,,,
1,Aizawl ,451.27,56.16,395.11
2,Champhai ,797.44,32.92,764.52
3,Kolasib ,472.98,22.1,450.88
4,Lawngtalai ,623.39,31.61,591.76
5,Lunglei,301.14,40.24,260.9
6,Mamit ,367.5,23.17,344.33
7,Saiha,285.71,14.87,270.84
8,Serchipp,248.62,17.1,231.52
Nagaland,,,,
1,Kohima,15093,134.59,14959.41
2,Dimapur,10490,723.06,9766.94
3,Phek,22416,61.14,22354.86
4,Mokokchung,16820,38.04,16780.96
5,Zunheboto,12625,33.4,12591.6
6,Wokha,17147,52.57,17094.43
7,Tuenchung,28247,66.27,28180.73
8,Mon,19051,66.95,18984.05
9,Peren,17384,25.47,17358.53
10,Kiphire,11093,19.8,11073.2
11,Longleng,4470,13.51,4456.49
Orissa,,,,
1,Angul,46077,4786,28357
2,Balasore,110063,10072,47435
3,Bargarh,46054,4097,32250
4,Bhadrak,45409,3612,17276
5,Bolangir,57656,3464,42909
6,Boudh,27839,1460,21141
7,Cuttack,70716,8143,40648
8,Deogarh,20629,1020,16493
9,Dhenkanal,44264,3558,30809
10,Gajapati,22670,1302,15599
11,Ganjam,114541,9836,74677
12,Jagatsinghpur,45029,2563,20653
13,Jajpur,56933,3181,27624
14,Jharsuguda,16791,1830,10977
15,Kalahandi,74911,9644,53218
16,Kandhamal,70266,2580,58982
17,Kendrapara,16781,830,6804
18,Keonjhar,81323,6407,54286
19,Khurda,47618,8317,28015
20,Koraput,69117,3928,59872
21,Malkangiri,33598,1860,28893
22,Mayurbhanj,148194,8989,98454
23,Nabarangapur,50306,6815,38045
24,Nayagarh,42682,2854,30604
25,Nuapada,33686,3262,24113
26,Puri,58806,5170,43387
27,Rayagada,65681,3332,53540
28,Sambalpur,52520,3403,41917
29,Subarnapur,21429,1843,16143
30,Sundergarh,77325,6542,56628
Punjab,,,,
1,Amritsar,175354,7888,-47391
2,Barnala,61518,1758,-58117
3,Bathinda,144175,4467,9453
4,Faridkot,61453,3730,-37157
5,Fatehgarh Sahib,58737,2412,-53670
6,Fazilka,93323,3882,3722
7,Ferozepur,137499,2588,-61481
8,Gurdaspur,164473,5301,-39799
9,Hoshiarpur,91106,4966,301
10,Jalandhar,130410,9404,-143499
11,Kapurthala,74664,4183,-78511
12,Ludhiana,212674,13512,-134069
13,Mansa,103420,13,-39791
14,Moga,116570,2360,-125299
15,Muktsar,76125,2460,22604
16,Nawanshahr,67033,1612,-4570
17,Patiala,153108,6381,-138803
18,Pathankot,31959,2173,11288
19,Ropar,42073,2752,-4365
20,Mohali,28963,6735,-1095
21,Sangrur,173517,4795,-194037
22,Tarn Taran,141020,3736,-48381
Rajasthan,,,,
1,Ajmer,32066.15,4780.69,0
2,Alwar,85503.86,12082.26,50.35
3,Banswara,23657.97,2424.15,11695.83
4,Baran,50554.58,8983.58,5470.07
5,Barmer,25203.44,6529.73,2160.73
6,Bharatpur,45700.5,7838,880.95
7,Bhilwara,43030.29,2896.95,3.64
8,Bikaner,24210.11,8774.35,4508.77
9,Bundi,34932.67,3790.1,4939.32
10,Chittaurgarh,34385.21,5035.95,0
11,Churu,13473.1,5779.65,3046.77
12,Dausa,25433.59,2906.12,0
13,Dhaulpur,27532.04,3577.71,1751.59
14,Dungarpur,13332.77,3575.29,1637.16
15,Ganganagar,36371.34,1485.75,19512.59
16,Hanumangarh,16433.45,1123.51,1954.05
17,Jaipur,65078.82,37904.13,502.88
18,Jaisalmer,6362,2561.01,2393.45
19,Jalor,42644.71,4288.38,1150.76
20,Jhalawar,54680.67,2643.15,3328.69
21,Jhunjhunun,25076.26,9289.82,322.65
22,Jodhpur,39552.29,13192.7,5109.17
23,Karauli,32408.36,5337.46,857.82
24,Kota,52225.66,9099.44,6706.06
25,Nagaur,51915.53,19588.62,4137.78
26,Pali,29461.85,3550.27,1392.72
27,Pratapgarh,15553.23,2824.25,851.68
28,Rajsamand,11187.19,3641.6,69.61
29,Sawai Madhopur,37885.32,8182.55,358.75
30,Sikar,29703.77,9332.85,856.04
31,Sirohi,27518.3,1411.88,1163.48
32,Tonk,44241.15,9246.55,2565.7
33,Udaipur,28360.8,7839.28,932.33
Tamil Nadu,,,,
1,Ariyalur,35251.72,2416.32,19570.93
2,Chennai,1496.9,4783.4,-3286.49
3,Coimbatore,44950.83,5695.72,1479.94
4,Cuddalore,128495.06,34550.88,42177.87
5,Dharmapuri,36669.66,2163.03,-10755.81
6,Dindigul ,58016.67,2978.07,-5063.718677
7,Erode ,67024.26,6446.14,2939.82
8,Kancheepuram,105447.62,7056.19,34985.43
9,Kanniyakumari,23958.611,1498.7,19266.92533
10,Karur,31327.18,2184.21,777.09
11,Krishnagiri,35425.08,2455.17,-5361.39
12,Madurai,63797.96,4777.33,19980.32
13,Nagapattinam,16544.12,1139.7,-313.88
14,Namakkal,36411.04,2394.94,-9856.52
15,Nilgiris,13063.02,599.48,11861.53
16,Perambalur,21510.24,1256.82,-4828.41
17,Pudukkottai,98591.79,2465.3,60034.39
18,Ramanathapuram,51962.52,1671.89,44359.59
19,Salem,54609.38,5303.45,-9409.12
20,Sivagangai,90618.63,1684.34,71163.05
21,Thanjavur,74652.08,2888.96,-1689.54
22,Theni,38685.27,898.45,8445.72
23,Thirunelveli,90839.84,2390.86,31468.72
24,Thiruvallur,70462.05,19141.09,21772.92
25,Thiruvannamalai,111687.47,3725.78,8277.45
26,Thiruvarur,30062.17,1526.86,6095.05
27,Thoothukudi,50683.95,1895.44,28732.46
28,Tiruchy,70069.09,7451.28,13102.08
29,Tiruppur,45375.57,3593.61,-5837.28
30,Vellore,58970.76,7353.64,-2640.67
31,Villupuram,148771,5688.53,1679.61
32,Virudhunagar,53344.37,2513.11,19100.82
ANDHRA PRADESH,,,,
1,Adilabad,187470,12632,110620
2,Karimnagar,179633,46578,12430
3,Khammam,159305,9144,95623
4,Mahbubnagar,169294,14617,79010
5,Medak,102770,9895,21465
6,Nalgonda,168251,12590,56794
7,Nizamabad,131128,8278,43087
8,Rangareddy & Hyderabad,64763,25998,4167
9,Warangal,176408,15712,60039
Tripura,,,,
1,West Tripura ,84186.06,8462.55,68589.51
2,South Tripura ,63694.14,5624.64,56089.5
3,North Tripura ,40501.03,4073.4,36253.62
4,Dhalai,38519.65,1800.11,36689.54
UttarPradesh,,,,
1,Agra,83465.37,11653.2,5875.11
