"Country Code","Country","State Code","State","District","Annual Replenishable Ground Water Resource","Domestic & Industrial Water Supply","Projected demand for Domestic and Industrial uses upto 2025","Net Ground Water Availability for Future Irrigation use","Stage of Ground Water Development (%)"
"1","INDIA","14","HIMACHAL PRADESH","KALA AMB VALLEY","101.66","494.51","494.51","-448.74","565"
"1","INDIA","14","HIMACHAL PRADESH","NALAGARH VALLEY","8359.85","2113.39","2113.39","3609.55","55"
"1","INDIA","14","HIMACHAL PRADESH","UNA","17792.75","5485.88","5485.88","-4063.17","124"
"1","INDIA","14","HIMACHAL PRADESH","HUM VALLEY","593.11","106.9","125.36","-16.05","100"
"1","INDIA","15","JAMMU AND KASHMIR","JAMMU","130102","8503","9162","94937","18"
"1","INDIA","15","JAMMU AND KASHMIR","KATHUA","53671","3127","3793","39043","18"
"1","INDIA","15","JAMMU AND KASHMIR","SRINAGAR","16612","9328","12304","2147","66"
"1","INDIA","15","JAMMU AND KASHMIR","ANANTNAG","51009","5014","6447","39392","11"
"1","INDIA","15","JAMMU AND KASHMIR","BARAMULA","51770","4071","4959","41233","10"
"1","INDIA","15","JAMMU AND KASHMIR","BADGAM","29632","7088","8519","18088","27"
"1","INDIA","15","JAMMU AND KASHMIR","PULWAMA","30893","7922","10318","17395","29"
"1","INDIA","15","JAMMU AND KASHMIR","KUPWARA","21055","4858","6607","12318","26"
"1","INDIA","15","JAMMU AND KASHMIR","UDHAMPUR","6483","2785","3045","2775","48"
"1","INDIA","15","JAMMU AND KASHMIR","RAJAURI","11800","3102","4063","6326","31"
"1","INDIA","15","JAMMU AND KASHMIR","PUNCH","10434","3762","4910","4476","40"
"1","INDIA","15","JAMMU AND KASHMIR","DODA","5972","1043","1715","3654","20"
"1","INDIA","15","JAMMU AND KASHMIR","KARGIL","1583","132","167","1259","9"
"1","INDIA","15","JAMMU AND KASHMIR","LEH AND LADAKH","4104","40","55","3627","1"
"1","INDIA","16","JHARKHAND","BOKARO","24886","2474","3575","14018","34"
"1","INDIA","16","JHARKHAND","CHATRA","30959","1374","2262","17623","36"
"1","INDIA","16","JHARKHAND","DEVGARH","25668","2754","4783","13423","35"
"1","INDIA","16","JHARKHAND","DHANBAD","16378","4623","5780","5449","56"
"1","INDIA","16","JHARKHAND","DUMKA","30212","1948","2509","19047","28"
"1","INDIA","16","JHARKHAND","PURBI SINGHBHUM","32101","3467","3837","22125","23"
"1","INDIA","16","JHARKHAND","GARHWA","33768","2027","2925","18839","36"
"1","INDIA","16","JHARKHAND","GIRIDIH","47055","3913","5245","26142","37"
