Country Code,Country,State Code,State,District,2004 Average,2005 Average,2006 Average,2007 Average,2008 Average,2009 Average,2010 Average,2011 Average,2012 Average,2013 Average
1,INDIA,12,GUJARAT,DAHOD,88,44.1,99.9,71.7,49.4,36.6,48.8,47.7,61,66.9
1,INDIA,12,GUJARAT,GANDHINAGAR,63.2,117.6,88,91.8,61.7,42.5,76.8,55.4,49.8,87.3
1,INDIA,12,GUJARAT,JAMNAGAR,46.9,48,64.5,99.9,48.1,76.5,125.5,66.2,30.6,77.8
1,INDIA,12,GUJARAT,JUNAGARH,86,79.4,81.6,137.8,93.5,111.2,141.8,90,35.8,99.4
1,INDIA,12,GUJARAT,KACHCHH,25,32.2,46.7,47,26.2,41.5,74,53.5,21.1,54.3
1,INDIA,12,GUJARAT,KHERA,69.2,94.9,117.7,95.3,63.2,37.6,70.6,48.7,53.7,85.6
1,INDIA,12,GUJARAT,MAHESANA,51.4,115.9,118.1,91.6,50.6,37.4,68.6,62.4,38.1,75.4
1,INDIA,12,GUJARAT,NARMADA,89.5,96.2,124.4,113,91.9,65.8,76.1,84.9,65.3,140.5
1,INDIA,12,GUJARAT,NAVSARI,173.2,247.4,174.9,144.7,183,123.9,165.2,158.5,89.5,170.7
1,INDIA,12,GUJARAT,PANCHMAHAL,79.5,75.6,118.2,82.2,56.2,40.6,59.2,62.2,64.9,92
1,INDIA,12,GUJARAT,PATAN,41.9,65.9,87,70.8,47.8,24.6,72.4,60,28.1,63.7
1,INDIA,12,GUJARAT,PORBANDAR,44,57.9,76.3,112.4,53.8,121.3,148.2,79.4,17.1,92.9
1,INDIA,12,GUJARAT,RAJKOT,54.4,61,75,88.8,66.1,45.1,104,72.5,28.4,85.7
1,INDIA,12,GUJARAT,SABAR KANTHA,60.4,88.3,141.8,109.2,55.7,55,74.8,82.8,66,94.6
1,INDIA,12,GUJARAT,SURAT,163.6,217.6,167.9,131,135.2,109,130.9,108.8,68.1,163.2
1,INDIA,12,GUJARAT,SURENDRANAGAR,43,66.9,52.7,68.4,61.5,23.3,66.9,55,27.6,56
1,INDIA,12,GUJARAT,TAPI,,,,,,,,92.3,71.2,143.3
1,INDIA,12,GUJARAT,VALSAD,194.9,232.8,186.4,183,187.2,155.2,186.3,186.6,124.8,233.7
1,INDIA,13,HARYANA,AMBALA,100.2,88.2,55.1,61.5,102.3,65,93.6,68.1,45.8,79
1,INDIA,13,HARYANA,BHIWANI,35.6,40.8,30.3,31.8,63.5,19,36.8,27.4,28,24.4
1,INDIA,13,HARYANA,FARIDABAD,52.9,49.3,22.4,48.7,59.2,29.6,50.7,50.4,26.9,51.5
1,INDIA,13,HARYANA,FATEHABAD,23.8,40.9,26.9,26.5,39.6,14.2,27.5,29.1,14,20.9
1,INDIA,13,HARYANA,GURGAON,46.5,52.3,28.4,61.2,76.8,38.5,70.1,37.6,40.5,33.4
1,INDIA,13,HARYANA,HISAR,25.1,39.5,20.6,41.3,37.2,21.8,31.7,28.6,22.1,
1,INDIA,13,HARYANA,JHAJJAR,39.4,51.6,41.2,43,87.5,31.7,40.5,27.6,19.4,25.9
1,INDIA,13,HARYANA,JIND,52.9,67.8,31.8,46.4,62.4,33.9,45.3,33.2,18.4,40.5
1,INDIA,13,HARYANA,KAITHAL,66.9,74.5,20.3,32.7,78.2,17.2,47.3,26.5,13.8,30.5
1,INDIA,13,HARYANA,KARNAL,52.5,46.9,28.3,61,51.1,40.5,73.1,36.2,30,57.6
1,INDIA,13,HARYANA,KURUKSHETRA,47,46.2,20.1,29.6,35.4,21,38.2,26.9,14.5,25.5
1,INDIA,13,HARYANA,MAHENDRAGARH,22,26.9,14.2,37.9,69,23.1,43.5,35.3,31.5,34
1,INDIA,13,HARYANA,MEWAT,,,,,,,,17.2,20.9,38
1,INDIA,13,HARYANA,PALWAL,,,,,,,,41.5,26.5,36.6
